"code","description","subcategory","commoncat","icd10subcategory","MatchStage","manual_icd10"
"804","multiple fractures involving skull or face with other bones","fracture of skull","injury, poisoning and certain other consequences of external causes","Injuries to the head","manual by category",NA
"805","fracture of vertebral column without mention of spinal cord lesion","fracture of spine and trunk","injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumber spine, pelvis and external genitals","manual by category",NA
"806","fracture of vertebral column with spinal cord lesion","fracture of spine and trunk","injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumber spine, pelvis and external genitals","manual by category",NA
"807","fracture of rib(s), sternum, larynx and trachea","fracture of spine and trunk","injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumber spine, pelvis and external genitals","manual by category",NA
"808","fracture of pelvis","fracture of spine and trunk","injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumber spine, pelvis and external genitals","manual by category",NA
"809","ill-defined fractures of trunk","fracture of spine and trunk","injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumber spine, pelvis and external genitals","manual by category",NA
"810","fracture of clavicle","fracture of upper limb","injury, poisoning and certain other consequences of external causes","injuries to the shoulder and upper arm","manual by code","s42"
"811","fracture of scapula","fracture of upper limb","injury, poisoning and certain other consequences of external causes","injuries to the shoulder and upper arm","manual by code","s42"
"812","fracture of humerus","fracture of upper limb","injury, poisoning and certain other consequences of external causes","injuries to the shoulder and upper arm","manual by code","s42"
"813","fracture of radius and ulna","fracture of upper limb","injury, poisoning and certain other consequences of external causes","injuries to the elbow and forearm","manual by code","s52"
"814","fracture of carpal bone(s)","fracture of upper limb","injury, poisoning and certain other consequences of external causes","injuries to the wrist, hand and fingers","manual by code","s62"
"815","fracture of metacarpal bone(s)","fracture of upper limb","injury, poisoning and certain other consequences of external causes","injuries to the wrist, hand and fingers","manual by code","s62"
"816","fracture of one or more phalanges of hand","fracture of upper limb","injury, poisoning and certain other consequences of external causes","injuries to the wrist, hand and fingers","manual by code","s62"
"817","multiple fractures of hand bones","fracture of upper limb","injury, poisoning and certain other consequences of external causes","injuries to the wrist, hand and fingers","manual by code","s62"
"818","ill-defined fractures of upper limb","fracture of upper limb","injury, poisoning and certain other consequences of external causes","no conversion",NA,NA
"819","multiple fractures involving both upper limbs, and upper limb","fracture of upper limb","injury, poisoning and certain other consequences of external causes","injuries to the thorax","manual by code","s22"
"820","fracture of neck of femur","fracture of lower limb","injury, poisoning and certain other consequences of external causes","injuries to the hip and thigh","fuzzy by code",NA
"821","fracture of other and unspecified parts of femur","fracture of lower limb","injury, poisoning and certain other consequences of external causes","injuries to the hip and thigh","fuzzy by code",NA
"822","fracture of patella","fracture of lower limb","injury, poisoning and certain other consequences of external causes","injuries to the knee and lower leg","manual by code","s82"
"823","fracture of tibia and fibula","fracture of lower limb","injury, poisoning and certain other consequences of external causes","injuries to the knee and lower leg","manual by code","s82"
"824","fracture of ankle","fracture of lower limb","injury, poisoning and certain other consequences of external causes","injuries to the knee and lower leg","fuzzy by code",NA
"825","fracture of one or more tarsal and metatarsal bones","fracture of lower limb","injury, poisoning and certain other consequences of external causes","injuries to the ankle and foot","manual by code","s92"
"826","fracture of one or more phalanges of foot","fracture of lower limb","injury, poisoning and certain other consequences of external causes","injuries to the ankle and foot","manual by code","s92"
"827","other, multiple and ill-defined fractures of lower limb","fracture of lower limb","injury, poisoning and certain other consequences of external causes","no conversion",NA,NA
